state,fiscal_year,season,is_current_cycle,contracted_tons,priced_tons,contract_value,weighted_avg_price,simple_avg_price,min_price,max_price,n_line_items,n_counties,attributed_tons,unattributed_tons
MI,2022,2021/2022,False,1051029.6316,1051029.6316,59222160.911408,56.346804248756634,60.94129528985485,43.58,143.58,1104.0,94.0,1051029.6316,0.0
MI,2023,2022/2023,False,1169200.0,1169200.0,71736383.5,61.35510049606569,63.55767361111086,53.4,101.05,1152.0,90.0,1169200.0,0.0
MI,2024,2023/2024,False,1120611.0,1120611.0,71452827.28,63.76238255737272,65.735097173145,52.91,108.12,1132.0,85.0,1120611.0,0.0
MI,2025,2024/2025,False,810425.0,810425.0,51774561.75,63.88569176666564,66.25384848484875,53.8,105.41,990.0,86.0,810425.0,0.0
MI,2026,2025/2026,False,1160419.0,1160419.0,76293746.13,65.74672263208375,67.77416809605528,52.3,200.5,1166.0,85.0,1160419.0,0.0
MI,2027,2026/2027,True,1345315.0,1345315.0,98268158.15,73.04472049297006,74.7126742301462,56.99,127.14,1234.0,84.0,1345315.0,0.0
PA,2022,2021/2022,False,1660915.0,0.0,0.0,,,,,67.0,67.0,,1660915.0
PA,2023,2022/2023,False,191986.0,0.0,0.0,,,,,8.0,8.0,,191986.0
PA,2024,2023/2024,False,1444436.0,1444436.0,113867910.97,78.83209153607359,80.1010447761194,54.08,100.3,67.0,67.0,1444436.0,0.0
PA,2025,2024/2025,False,,0.0,0.0,,84.41149253731344,56.78,106.32,67.0,67.0,0.0,
PA,2026,2025/2026,False,1533471.0,1533471.0,133380205.9,86.97928157754532,88.21432835820895,59.62,111.1,67.0,67.0,1533471.0,0.0
PA,2027,2026/2027,True,1650178.0,1650178.0,149842978.53999996,90.80413054834082,92.46910447761192,75.0,113.1,67.0,67.0,1650178.0,0.0
