state,fiscal_year,season,is_current_cycle,vendor,county,program,channel,fill_type,delivery_terms,price_unit,contracted_tons,price_per_ton,extended_value,price_costars,contract_no,record_type,measure_basis,tons_basis,source_doc,source_page,source_url,source_sha256,retrieved_at,entity,change_notice
MI,2022,2021/2022,False,Cargill,Delta,Early Fill,MDOT,early_fill,delivered,USD/short ton,1500.0,56.23,84345.0,,180000000791,award,price+volume,derived,791_snap2023-01.pdf,3,,1fe2dd8f5d8f66be85b49e08fe018aad23ebdedf5935bd9dc925297bd5129217,2026-09-08T17:55:06,Escanaba,3
MI,2022,2021/2022,False,Cargill,Delta,Early Fill,MDOT,early_fill,delivered,USD/short ton,1000.0,56.23,56230.0,,180000000791,award,price+volume,derived,791_snap2023-01.pdf,3,,1fe2dd8f5d8f66be85b49e08fe018aad23ebdedf5935bd9dc925297bd5129217,2026-09-08T17:55:06,Rapid River,3
MI,2022,2021/2022,False,Cargill,Delta,Early Fill,MiDEAL / State Agency,early_fill,delivered,USD/short ton,900.0,55.23,49707.0,,180000000791,award,price+volume,derived,791_snap2023-01.pdf,4,,1fe2dd8f5d8f66be85b49e08fe018aad23ebdedf5935bd9dc925297bd5129217,2026-09-08T17:55:06,"ESCANABA, CITY OF",3
MI,2022,2021/2022,False,Cargill,Delta,Early Fill,MiDEAL / State Agency,early_fill,delivered,USD/short ton,50.0,55.23,2761.5,,180000000791,award,price+volume,derived,791_snap2023-01.pdf,4,,1fe2dd8f5d8f66be85b49e08fe018aad23ebdedf5935bd9dc925297bd5129217,2026-09-08T17:55:06,OSF HEALTHCARE ST. FRANCIS HOSP AND MED GROUP,3
MI,2022,2021/2022,False,Cargill,Delta,Seasonal Back-Up,MiDEAL / State Agency,seasonal_backup,delivered,USD/short ton,1500.0,56.23,84345.0,,180000000791,award,price+volume,derived,791_snap2023-01.pdf,5,,1fe2dd8f5d8f66be85b49e08fe018aad23ebdedf5935bd9dc925297bd5129217,2026-09-08T17:55:06,DELTA COUNTY ROAD COMMISSION,3
MI,2022,2021/2022,False,Cargill,Delta,Seasonal Back-Up,MiDEAL / State Agency,seasonal_backup,delivered,USD/short ton,200.0,56.23,11246.0,,180000000791,award,price+volume,derived,791_snap2023-01.pdf,5,,1fe2dd8f5d8f66be85b49e08fe018aad23ebdedf5935bd9dc925297bd5129217,2026-09-08T17:55:06,"GLADSTONE, CITY OF",3
MI,2022,2021/2022,False,Cargill,Delta,Seasonal Back-Up,MiDEAL / State Agency,seasonal_backup,delivered,USD/short ton,100.0,56.23,5623.0,,180000000791,award,price+volume,derived,791_snap2023-01.pdf,5,,1fe2dd8f5d8f66be85b49e08fe018aad23ebdedf5935bd9dc925297bd5129217,2026-09-08T17:55:06,OSF HEALTHCARE ST. FRANCIS HOSP AND MED GROUP,3
MI,2022,2021/2022,False,Cargill,Dickinson,Early Fill,MiDEAL / State Agency,early_fill,delivered,USD/short ton,900.0,67.16,60444.0,,180000000791,award,price+volume,derived,791_snap2023-01.pdf,4,,1fe2dd8f5d8f66be85b49e08fe018aad23ebdedf5935bd9dc925297bd5129217,2026-09-08T17:55:06,"IRON MOUNTAIN, CITY OF",3
MI,2022,2021/2022,False,Cargill,Dickinson,Early Fill,MiDEAL / State Agency,early_fill,delivered,USD/short ton,250.0,67.16,16790.0,,180000000791,award,price+volume,derived,791_snap2023-01.pdf,4,,1fe2dd8f5d8f66be85b49e08fe018aad23ebdedf5935bd9dc925297bd5129217,2026-09-08T17:55:06,DICKINSON COUNTY ROAD COMMISSION,3
MI,2022,2021/2022,False,Cargill,Dickinson,Early Fill,MiDEAL / State Agency,early_fill,delivered,USD/short ton,500.0,67.16,33580.0,,180000000791,award,price+volume,derived,791_snap2023-01.pdf,4,,1fe2dd8f5d8f66be85b49e08fe018aad23ebdedf5935bd9dc925297bd5129217,2026-09-08T17:55:06,DICKINSON COUNTY ROAD COMMISSION,3
